FLAGS,VOR-,ETT+,BST+,KNO-,OID-,ERR-,0,0
615.6,B,4,OW,,,,,
615.7,B,4,BO,0,,,,
615.7,B,5,BI,0,,,,
615.7,B,4,B-,16,16,1,,
615.7,B,5,B+,16,16,1,,
615.7,B,1,B-,17,17,1,,
615.7,B,4,B+,17,17,1,,
615.7,B,1,BO,0,,,,
615.7,B,4,BI,0,,,,
615.7,B,4,AB,17,17,,,
615.7,B,1,OW,,,,,
617.2,B,4,BO,0,,,,
617.2,B,5,BI,0,,,,
621.4,B,5,OW,,,,,
629.5,B,4,AE,17,17,,,
629.5,B,4,OW,,,,,
641.7,B,17,AE,9,9,,,
641.7,B,17,OW,,,,,
641.7,B,17,B-,9,9,1,,
